     packets  errs idrops      bytes    packets  errs      bytes colls
         3     0     0        656          0     0          0     0
         7     0     0        975          0     0          0     0
         3     0     0        421          0     0          0     0
         4     0     0        791          0     0          0     0
         1     0     0        237          0     0          0     0
         1     0     0        237          0     0          0     0
         1     0     0         60      13650     0   22587366     0
        63     0     0      11825      16252     0   24660366     0
        13     0     0       3380      16260     0   24660032     0
         6     0     0       1562      16250     0   24660032     0
         1     0     0        252      16260     0   24660032     0
         3     0     0        394      16251     0   24660078     0
         7     0     0        661      16250     0   24660032     0
         4     0     0        619      16260     0   24198262     0
         4     0     0        629      16250     0   24351176     0
         3     0     0        588      16260     0   24660032     0
         3     0     0        462      16250     0   24660032     0
         5     0     0        466      16260     0   24660032     0
         7     0     0        896      16250     0   24660032     0
         6     0     0        526      16250     0   24660032     0
         3     0     0        276      16260     0   24660032     0
            input        (Total)           output
     packets  errs idrops      bytes    packets  errs      bytes colls
         2     0     0        184      16250     0   24660032     0
         8     0     0        716      16260     0   24660032     0
         6     0     0        665      16250     0   24660032     0
         5     0     0        562      16260     0   24660032     0
         6     0     0        526      16250     0   24660032     0
         3     0     0        388      16250     0   24660032     0
         4     0     0        507      16260     0   24660032     0
         5     0     0        535      16250     0   24551024     0
         7     0     0        895      16260     0   23998414     0
         6     0     0        845      16250     0   24660032     0
         5     0     0        772      16260     0   24660032     0
         5     0     0        896      16250     0   24660032     0
         3     0     0        244      16250     0   24660032     0
         6     0     0        798      16260     0   24660032     0
         3     0     0        276      16250     0   24660032     0
         2     0     0        184      16260     0   24660032     0
         3     0     0        276      16250     0   24660032     0
         2     0     0        184      16260     0   24660032     0
         4     0     0        336      16250     0   24660032     0
         4     0     0        502      16251     0   24660078     0
         2     0     0        184      16260     0   24660032     0

